_id,Code,Désignation,Pays,Cours précédent,Cours jour,Volume échangé,Nombre transactions,Valeur échangée,Date
65b223b695d22689cd9af3e7,FTSC,FILTISAC CI,CI,  1 750,  1 705,   7,   3,   12 205,24/01/2024
65b223b695d22689cd9af3e8,NEIC,NEI CEDA CI,CI,   600,   600,   89,   3,   53 390,24/01/2024
65b223b695d22689cd9af3e9,NSBC,NSIA BANQUE COTE D'IVOIRE, ,  5 590,  5 580,   10,   1,   55 800,24/01/2024
65b223b695d22689cd9af3ea,NTLC,NESTLE CI                                      ,CI,  7 300,  7 295,   38,   7,   263 265,24/01/2024
65b223b695d22689cd9af3eb,ONTBF,ONATEL BF,BF,  2 280,  2 235,  4 410,   62,  9 490 830,24/01/2024
65b223b695d22689cd9af3ec,ORAC,ORANGE COTE D'IVOIRE, ,  10 700,  10 655,  1 037,   16,  11 060 835,24/01/2024
65b223b695d22689cd9af3ed,ORGT,ORAGROUP TOGO, ,  2 490,  2 305,   98,   8,   225 890,24/01/2024
65b223b695d22689cd9af3ee,PALC,PALMCI,CI,  6 660,  6 800,   314,   19,  2 106 160,24/01/2024
65b223b695d22689cd9af3ef,PRSC,TRACTAFRIC MOTORS CI                           ,CI,  1 920,  1 900,   266,   7,   518 955,24/01/2024
65b223b695d22689cd9af3f0,SCRC,SUCRIVOIRE COTE D'IVOIRE, ,   450,   450,   353,   8,   158 925,24/01/2024
65b223b695d22689cd9af3f1,SDCC,SODECI,CI,  4 390,  4 390,   80,   7,   351 200,24/01/2024
65b223b695d22689cd9af3f2,SDSC,BOLLORE TRANSPORT & LOGISTICS CI                                     ,CI,  1 390,  1 390,  5 237,   33,  7 263 850,24/01/2024
65b223b695d22689cd9af3f3,SGBC,SGBCI               ,CI,  16 200,  16 100,   283,   19,  4 551 700,24/01/2024
65b223b695d22689cd9af3f4,SHEC,VIVO ENERGY CI      ,CI,   780,   790,   415,   19,   326 500,24/01/2024
65b223b695d22689cd9af3f5,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE, ,  5 300,  5 290,  3 008,   44,  15 685 745,24/01/2024
65b223b695d22689cd9af3f6,SICC,SICOR,CI,  3 400,  3 400,   3,   1,   10 200,24/01/2024
65b223b695d22689cd9af3f7,SIVC,AIR LIQUIDE CI,CI,   825,   820,   20,   2,   16 400,24/01/2024
65b223b695d22689cd9af3f8,SMBC,SMB CI,CI,  10 000,  9 955,   270,   12,  2 701 145,24/01/2024
65b223b695d22689cd9af3f9,SNTS,SONATEL,SN,  17 000,  17 000,  4 757,   57,  80 624 140,24/01/2024
65b223b695d22689cd9af3fa,SOGC,SOGB,CI,  3 095,  3 095,  1 314,   15,  4 056 620,24/01/2024
65b223b695d22689cd9af3fb,SPHC,SAPH CI,CI,  2 280,  2 250,   396,   7,   874 850,24/01/2024
65b223b695d22689cd9af3fc,STAC,SETAO CI,CI,   830,   885,   11,   2,   9 235,24/01/2024
65b223b695d22689cd9af3fd,STBC,SITAB,CI,  5 900,  5 900,   73,   4,   426 600,24/01/2024
65b223b695d22689cd9af3fe,TTLC,TOTAL CI             ,CI,  1 860,  1 850,  1 070,   28,  1 848 250,24/01/2024
65b223b695d22689cd9af3ff,TTLS,TOTAL SENEGAL,SN,  2 290,  2 280,   539,   27,  1 225 330,24/01/2024
65b223b695d22689cd9af400,UNLC,UNILEVER CI,CI,  5 000,  5 000,   8,   2,   40 000,24/01/2024
65b223b695d22689cd9af401,UNXC,UNIWAX CI,CI,   540,   580,  1 294,   6,   723 290,24/01/2024
65b2249cae9795cdca29b4a6,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,23/01/2024
65b2249cae9795cdca29b4a7,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,23/01/2024
65b2249cae9795cdca29b4a8,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,23/01/2024
65b2249cae9795cdca29b4a9,BOAB,BANK OF AFRICA BENIN                                      ,BJ,  6 500,  6 500,   467,   10,  3 032 700,23/01/2024
65b2249cae9795cdca29b4aa,BOABF,Bank Of Africa Burkina Faso                                 ,BF,  6 900,  6 900,   140,   6,   960 350,23/01/2024
65b2249cae9795cdca29b4ab,BOAC,BANK OF AFRICA CI                                ,CI,  6 935,  6 950,   673,   29,  4 619 475,23/01/2024
65b2249cae9795cdca29b4ac,BOAM,BANK OF AFRICA MALI,ML,  1 375,  1 360,  1 159,   22,  1 598 270,23/01/2024
65b2249cae9795cdca29b4ad,BOAN,BANK OF AFRICA NIGER                                        ,NE,  5 295,  5 295,   82,   6,   432 820,23/01/2024
65b2249cae9795cdca29b4ae,BOAS,BANK OF AFRICA SENEGAL,SN,  3 140,  3 150,   917,   17,  2 875 200,23/01/2024
65b2249cae9795cdca29b4af,CABC,SICABLE CI,CI,   990,  1 035,   225,   6,   230 075,23/01/2024
65b2249cae9795cdca29b4b0,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO, ,  9 150,  9 000,   79,   5,   711 000,23/01/2024
65b2249cae9795cdca29b4b1,CFAC,CFAO CI,CI,   785,   780,   135,   5,   105 125,23/01/2024
65b2249cae9795cdca29b4b2,CIEC,CIE CI                                        ,CI,  1 695,  1 695,  3 176,   27,  5 376 085,23/01/2024
65b2249cae9795cdca29b4b3,ECOC,ECOBANK COTE D'IVOIRE, ,  6 700,  6 700,  1 575,   29,  10 462 650,23/01/2024
65b2249cae9795cdca29b4b4,ETIT,ETI TG                     ,TG,   18,   18,  20 879,   17,   358 896,23/01/2024
65b2249cae9795cdca29b4b5,FTSC,FILTISAC CI,CI,  1 750,  1 705,   7,   3,   12 205,23/01/2024
65b2249cae9795cdca29b4b6,NEIC,NEI CEDA CI,CI,   600,   600,   89,   3,   53 390,23/01/2024
65b2249cae9795cdca29b4b7,NSBC,NSIA BANQUE COTE D'IVOIRE, ,  5 590,  5 580,   10,   1,   55 800,23/01/2024
65b2249cae9795cdca29b4b8,NTLC,NESTLE CI                                      ,CI,  7 300,  7 295,   38,   7,   263 265,23/01/2024
65b2249cae9795cdca29b4b9,ONTBF,ONATEL BF,BF,  2 280,  2 235,  4 410,   62,  9 490 830,23/01/2024
65b2249cae9795cdca29b4ba,ORAC,ORANGE COTE D'IVOIRE, ,  10 700,  10 655,  1 037,   16,  11 060 835,23/01/2024
65b2249cae9795cdca29b4bb,ORGT,ORAGROUP TOGO, ,  2 490,  2 305,   98,   8,   225 890,23/01/2024
65b2249cae9795cdca29b4bc,PALC,PALMCI,CI,  6 660,  6 800,   314,   19,  2 106 160,23/01/2024
65b2249cae9795cdca29b4bd,PRSC,TRACTAFRIC MOTORS CI                           ,CI,  1 920,  1 900,   266,   7,   518 955,23/01/2024
65b2249cae9795cdca29b4be,SCRC,SUCRIVOIRE COTE D'IVOIRE, ,   450,   450,   353,   8,   158 925,23/01/2024
65b2249cae9795cdca29b4bf,SDCC,SODECI,CI,  4 390,  4 390,   80,   7,   351 200,23/01/2024
65b2249cae9795cdca29b4c0,SDSC,BOLLORE TRANSPORT & LOGISTICS CI                                     ,CI,  1 390,  1 390,  5 237,   33,  7 263 850,23/01/2024
65b2249cae9795cdca29b4c1,SGBC,SGBCI               ,CI,  16 200,  16 100,   283,   19,  4 551 700,23/01/2024
65b2249cae9795cdca29b4c2,SHEC,VIVO ENERGY CI      ,CI,   780,   790,   415,   19,   326 500,23/01/2024
65b2249cae9795cdca29b4c3,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE, ,  5 300,  5 290,  3 008,   44,  15 685 745,23/01/2024
65b2249cae9795cdca29b4c4,SICC,SICOR,CI,  3 400,  3 400,   3,   1,   10 200,23/01/2024
65b2249cae9795cdca29b4c5,SIVC,AIR LIQUIDE CI,CI,   825,   820,   20,   2,   16 400,23/01/2024
65b2249cae9795cdca29b4c6,SMBC,SMB CI,CI,  10 000,  9 955,   270,   12,  2 701 145,23/01/2024
65b2249cae9795cdca29b4c7,SNTS,SONATEL,SN,  17 000,  17 000,  4 757,   57,  80 624 140,23/01/2024
65b2249cae9795cdca29b4c8,SOGC,SOGB,CI,  3 095,  3 095,  1 314,   15,  4 056 620,23/01/2024
65b2249cae9795cdca29b4c9,SPHC,SAPH CI,CI,  2 280,  2 250,   396,   7,   874 850,23/01/2024
65b2249cae9795cdca29b4ca,STAC,SETAO CI,CI,   830,   885,   11,   2,   9 235,23/01/2024
65b2249cae9795cdca29b4cb,STBC,SITAB,CI,  5 900,  5 900,   73,   4,   426 600,23/01/2024
65b2249cae9795cdca29b4cc,TTLC,TOTAL CI             ,CI,  1 860,  1 850,  1 070,   28,  1 848 250,23/01/2024
65b2249cae9795cdca29b4cd,TTLS,TOTAL SENEGAL,SN,  2 290,  2 280,   539,   27,  1 225 330,23/01/2024
65b2249cae9795cdca29b4ce,UNLC,UNILEVER CI,CI,  5 000,  5 000,   8,   2,   40 000,23/01/2024
65b2249cae9795cdca29b4cf,UNXC,UNIWAX CI,CI,   540,   580,  1 294,   6,   723 290,23/01/2024
65b2249dae9795cdca29b4d0,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,22/01/2024
65b2249dae9795cdca29b4d1,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,22/01/2024
65b2249dae9795cdca29b4d2,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,22/01/2024
65b2249dae9795cdca29b4d3,BOAB,BANK OF AFRICA BENIN                                      ,BJ,  6 500,  6 500,   467,   10,  3 032 700,22/01/2024
65b2249dae9795cdca29b4d4,BOABF,Bank Of Africa Burkina Faso                                 ,BF,  6 900,  6 900,   140,   6,   960 350,22/01/2024
65b2249dae9795cdca29b4d5,BOAC,BANK OF AFRICA CI                                ,CI,  6 935,  6 950,   673,   29,  4 619 475,22/01/2024
65b2249dae9795cdca29b4d6,BOAM,BANK OF AFRICA MALI,ML,  1 375,  1 360,  1 159,   22,  1 598 270,22/01/2024
65b2249dae9795cdca29b4d7,BOAN,BANK OF AFRICA NIGER                                        ,NE,  5 295,  5 295,   82,   6,   432 820,22/01/2024
65b2249dae9795cdca29b4d8,BOAS,BANK OF AFRICA SENEGAL,SN,  3 140,  3 150,   917,   17,  2 875 200,22/01/2024
65b2249dae9795cdca29b4d9,CABC,SICABLE CI,CI,   990,  1 035,   225,   6,   230 075,22/01/2024
65b2249dae9795cdca29b4da,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO, ,  9 150,  9 000,   79,   5,   711 000,22/01/2024
65b2249dae9795cdca29b4db,CFAC,CFAO CI,CI,   785,   780,   135,   5,   105 125,22/01/2024
65b2249dae9795cdca29b4dc,CIEC,CIE CI                                        ,CI,  1 695,  1 695,  3 176,   27,  5 376 085,22/01/2024
65b2249dae9795cdca29b4dd,ECOC,ECOBANK COTE D'IVOIRE, ,  6 700,  6 700,  1 575,   29,  10 462 650,22/01/2024
65b2249dae9795cdca29b4de,ETIT,ETI TG                     ,TG,   18,   18,  20 879,   17,   358 896,22/01/2024
65b2249dae9795cdca29b4df,FTSC,FILTISAC CI,CI,  1 750,  1 705,   7,   3,   12 205,22/01/2024
65b2249dae9795cdca29b4e0,NEIC,NEI CEDA CI,CI,   600,   600,   89,   3,   53 390,22/01/2024
65b2249dae9795cdca29b4e1,NSBC,NSIA BANQUE COTE D'IVOIRE, ,  5 590,  5 580,   10,   1,   55 800,22/01/2024
65b2249dae9795cdca29b4e2,NTLC,NESTLE CI                                      ,CI,  7 300,  7 295,   38,   7,   263 265,22/01/2024
65b2249dae9795cdca29b4e3,ONTBF,ONATEL BF,BF,  2 280,  2 235,  4 410,   62,  9 490 830,22/01/2024
65b2249dae9795cdca29b4e4,ORAC,ORANGE COTE D'IVOIRE, ,  10 700,  10 655,  1 037,   16,  11 060 835,22/01/2024
65b2249dae9795cdca29b4e5,ORGT,ORAGROUP TOGO, ,  2 490,  2 305,   98,   8,   225 890,22/01/2024
65b2249dae9795cdca29b4e6,PALC,PALMCI,CI,  6 660,  6 800,   314,   19,  2 106 160,22/01/2024
65b2249dae9795cdca29b4e7,PRSC,TRACTAFRIC MOTORS CI                           ,CI,  1 920,  1 900,   266,   7,   518 955,22/01/2024
65b2249dae9795cdca29b4e8,SCRC,SUCRIVOIRE COTE D'IVOIRE, ,   450,   450,   353,   8,   158 925,22/01/2024
65b2249dae9795cdca29b4e9,SDCC,SODECI,CI,  4 390,  4 390,   80,   7,   351 200,22/01/2024
65b2249dae9795cdca29b4ea,SDSC,BOLLORE TRANSPORT & LOGISTICS CI                                     ,CI,  1 390,  1 390,  5 237,   33,  7 263 850,22/01/2024
65b2249dae9795cdca29b4eb,SGBC,SGBCI               ,CI,  16 200,  16 100,   283,   19,  4 551 700,22/01/2024
65b2249dae9795cdca29b4ec,SHEC,VIVO ENERGY CI      ,CI,   780,   790,   415,   19,   326 500,22/01/2024
65b2249dae9795cdca29b4ed,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE, ,  5 300,  5 290,  3 008,   44,  15 685 745,22/01/2024
65b2249dae9795cdca29b4ee,SICC,SICOR,CI,  3 400,  3 400,   3,   1,   10 200,22/01/2024
65b2249dae9795cdca29b4ef,SIVC,AIR LIQUIDE CI,CI,   825,   820,   20,   2,   16 400,22/01/2024
65b2249dae9795cdca29b4f0,SMBC,SMB CI,CI,  10 000,  9 955,   270,   12,  2 701 145,22/01/2024
65b2249dae9795cdca29b4f1,SNTS,SONATEL,SN,  17 000,  17 000,  4 757,   57,  80 624 140,22/01/2024
65b2249dae9795cdca29b4f2,SOGC,SOGB,CI,  3 095,  3 095,  1 314,   15,  4 056 620,22/01/2024
65b2249dae9795cdca29b4f3,SPHC,SAPH CI,CI,  2 280,  2 250,   396,   7,   874 850,22/01/2024
65b2249dae9795cdca29b4f4,STAC,SETAO CI,CI,   830,   885,   11,   2,   9 235,22/01/2024
65b2249dae9795cdca29b4f5,STBC,SITAB,CI,  5 900,  5 900,   73,   4,   426 600,22/01/2024
65b2249dae9795cdca29b4f6,TTLC,TOTAL CI             ,CI,  1 860,  1 850,  1 070,   28,  1 848 250,22/01/2024
65b2249dae9795cdca29b4f7,TTLS,TOTAL SENEGAL,SN,  2 290,  2 280,   539,   27,  1 225 330,22/01/2024
65b2249dae9795cdca29b4f8,UNLC,UNILEVER CI,CI,  5 000,  5 000,   8,   2,   40 000,22/01/2024
65b2249dae9795cdca29b4f9,UNXC,UNIWAX CI,CI,   540,   580,  1 294,   6,   723 290,22/01/2024
65b2249dae9795cdca29b4fa,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,19/01/2024
65b2249dae9795cdca29b4fb,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,19/01/2024
65b2249dae9795cdca29b4fc,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,19/01/2024
65b2249dae9795cdca29b4fd,BOAB,BANK OF AFRICA BENIN                                      ,BJ,  6 500,  6 500,   467,   10,  3 032 700,19/01/2024
65b2249dae9795cdca29b4fe,BOABF,Bank Of Africa Burkina Faso                                 ,BF,  6 900,  6 900,   140,   6,   960 350,19/01/2024
65b2249dae9795cdca29b4ff,BOAC,BANK OF AFRICA CI                                ,CI,  6 935,  6 950,   673,   29,  4 619 475,19/01/2024
65b2249dae9795cdca29b500,BOAM,BANK OF AFRICA MALI,ML,  1 375,  1 360,  1 159,   22,  1 598 270,19/01/2024
65b2249dae9795cdca29b501,BOAN,BANK OF AFRICA NIGER                                        ,NE,  5 295,  5 295,   82,   6,   432 820,19/01/2024
65b2249dae9795cdca29b502,BOAS,BANK OF AFRICA SENEGAL,SN,  3 140,  3 150,   917,   17,  2 875 200,19/01/2024
65b2249dae9795cdca29b503,CABC,SICABLE CI,CI,   990,  1 035,   225,   6,   230 075,19/01/2024
65b2249dae9795cdca29b504,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO, ,  9 150,  9 000,   79,   5,   711 000,19/01/2024
65b2249dae9795cdca29b505,CFAC,CFAO CI,CI,   785,   780,   135,   5,   105 125,19/01/2024
65b2249dae9795cdca29b506,CIEC,CIE CI                                        ,CI,  1 695,  1 695,  3 176,   27,  5 376 085,19/01/2024
65b2249dae9795cdca29b507,ECOC,ECOBANK COTE D'IVOIRE, ,  6 700,  6 700,  1 575,   29,  10 462 650,19/01/2024
65b2249dae9795cdca29b508,ETIT,ETI TG                     ,TG,   18,   18,  20 879,   17,   358 896,19/01/2024
65b2249dae9795cdca29b509,FTSC,FILTISAC CI,CI,  1 750,  1 705,   7,   3,   12 205,19/01/2024
65b2249dae9795cdca29b50a,NEIC,NEI CEDA CI,CI,   600,   600,   89,   3,   53 390,19/01/2024
65b2249dae9795cdca29b50b,NSBC,NSIA BANQUE COTE D'IVOIRE, ,  5 590,  5 580,   10,   1,   55 800,19/01/2024
65b2249dae9795cdca29b50c,NTLC,NESTLE CI                                      ,CI,  7 300,  7 295,   38,   7,   263 265,19/01/2024
65b2249dae9795cdca29b50d,ONTBF,ONATEL BF,BF,  2 280,  2 235,  4 410,   62,  9 490 830,19/01/2024
65b2249dae9795cdca29b50e,ORAC,ORANGE COTE D'IVOIRE, ,  10 700,  10 655,  1 037,   16,  11 060 835,19/01/2024
65b2249dae9795cdca29b50f,ORGT,ORAGROUP TOGO, ,  2 490,  2 305,   98,   8,   225 890,19/01/2024
65b2249dae9795cdca29b510,PALC,PALMCI,CI,  6 660,  6 800,   314,   19,  2 106 160,19/01/2024
65b2249dae9795cdca29b511,PRSC,TRACTAFRIC MOTORS CI                           ,CI,  1 920,  1 900,   266,   7,   518 955,19/01/2024
65b2249dae9795cdca29b512,SCRC,SUCRIVOIRE COTE D'IVOIRE, ,   450,   450,   353,   8,   158 925,19/01/2024
65b2249dae9795cdca29b513,SDCC,SODECI,CI,  4 390,  4 390,   80,   7,   351 200,19/01/2024
65b2249dae9795cdca29b514,SDSC,BOLLORE TRANSPORT & LOGISTICS CI                                     ,CI,  1 390,  1 390,  5 237,   33,  7 263 850,19/01/2024
65b2249dae9795cdca29b515,SGBC,SGBCI               ,CI,  16 200,  16 100,   283,   19,  4 551 700,19/01/2024
65b2249dae9795cdca29b516,SHEC,VIVO ENERGY CI      ,CI,   780,   790,   415,   19,   326 500,19/01/2024
65b2249dae9795cdca29b517,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE, ,  5 300,  5 290,  3 008,   44,  15 685 745,19/01/2024
65b2249dae9795cdca29b518,SICC,SICOR,CI,  3 400,  3 400,   3,   1,   10 200,19/01/2024
65b2249dae9795cdca29b519,SIVC,AIR LIQUIDE CI,CI,   825,   820,   20,   2,   16 400,19/01/2024
65b2249dae9795cdca29b51a,SMBC,SMB CI,CI,  10 000,  9 955,   270,   12,  2 701 145,19/01/2024
65b2249dae9795cdca29b51b,SNTS,SONATEL,SN,  17 000,  17 000,  4 757,   57,  80 624 140,19/01/2024
65b2249dae9795cdca29b51c,SOGC,SOGB,CI,  3 095,  3 095,  1 314,   15,  4 056 620,19/01/2024
65b2249dae9795cdca29b51d,SPHC,SAPH CI,CI,  2 280,  2 250,   396,   7,   874 850,19/01/2024
65b2249dae9795cdca29b51e,STAC,SETAO CI,CI,   830,   885,   11,   2,   9 235,19/01/2024
65b2249dae9795cdca29b51f,STBC,SITAB,CI,  5 900,  5 900,   73,   4,   426 600,19/01/2024
65b2249dae9795cdca29b520,TTLC,TOTAL CI             ,CI,  1 860,  1 850,  1 070,   28,  1 848 250,19/01/2024
65b2249dae9795cdca29b521,TTLS,TOTAL SENEGAL,SN,  2 290,  2 280,   539,   27,  1 225 330,19/01/2024
65b2249dae9795cdca29b522,UNLC,UNILEVER CI,CI,  5 000,  5 000,   8,   2,   40 000,19/01/2024
65b2249dae9795cdca29b523,UNXC,UNIWAX CI,CI,   540,   580,  1 294,   6,   723 290,19/01/2024
65b2249eae9795cdca29b524,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,18/01/2024
65b2249eae9795cdca29b525,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,18/01/2024
65b2249eae9795cdca29b526,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,18/01/2024
65b2249eae9795cdca29b527,BOAB,BANK OF AFRICA BENIN                                      ,BJ,  6 500,  6 500,   467,   10,  3 032 700,18/01/2024
65b2249eae9795cdca29b528,BOABF,Bank Of Africa Burkina Faso                                 ,BF,  6 900,  6 900,   140,   6,   960 350,18/01/2024
65b2249eae9795cdca29b529,BOAC,BANK OF AFRICA CI                                ,CI,  6 935,  6 950,   673,   29,  4 619 475,18/01/2024
65b2249eae9795cdca29b52a,BOAM,BANK OF AFRICA MALI,ML,  1 375,  1 360,  1 159,   22,  1 598 270,18/01/2024
65b2249eae9795cdca29b52b,BOAN,BANK OF AFRICA NIGER                                        ,NE,  5 295,  5 295,   82,   6,   432 820,18/01/2024
65b2249eae9795cdca29b52c,BOAS,BANK OF AFRICA SENEGAL,SN,  3 140,  3 150,   917,   17,  2 875 200,18/01/2024
65b2249eae9795cdca29b52d,CABC,SICABLE CI,CI,   990,  1 035,   225,   6,   230 075,18/01/2024
65b2249eae9795cdca29b52e,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO, ,  9 150,  9 000,   79,   5,   711 000,18/01/2024
65b2249eae9795cdca29b52f,CFAC,CFAO CI,CI,   785,   780,   135,   5,   105 125,18/01/2024
65b2249eae9795cdca29b530,CIEC,CIE CI                                        ,CI,  1 695,  1 695,  3 176,   27,  5 376 085,18/01/2024
65b2249eae9795cdca29b531,ECOC,ECOBANK COTE D'IVOIRE, ,  6 700,  6 700,  1 575,   29,  10 462 650,18/01/2024
65b2249eae9795cdca29b532,ETIT,ETI TG                     ,TG,   18,   18,  20 879,   17,   358 896,18/01/2024
65b2249eae9795cdca29b533,FTSC,FILTISAC CI,CI,  1 750,  1 705,   7,   3,   12 205,18/01/2024
65b2249eae9795cdca29b534,NEIC,NEI CEDA CI,CI,   600,   600,   89,   3,   53 390,18/01/2024
65b2249eae9795cdca29b535,NSBC,NSIA BANQUE COTE D'IVOIRE, ,  5 590,  5 580,   10,   1,   55 800,18/01/2024
65b2249eae9795cdca29b536,NTLC,NESTLE CI                                      ,CI,  7 300,  7 295,   38,   7,   263 265,18/01/2024
65b2249eae9795cdca29b537,ONTBF,ONATEL BF,BF,  2 280,  2 235,  4 410,   62,  9 490 830,18/01/2024
65b2249eae9795cdca29b538,ORAC,ORANGE COTE D'IVOIRE, ,  10 700,  10 655,  1 037,   16,  11 060 835,18/01/2024
65b2249eae9795cdca29b539,ORGT,ORAGROUP TOGO, ,  2 490,  2 305,   98,   8,   225 890,18/01/2024
65b2249eae9795cdca29b53a,PALC,PALMCI,CI,  6 660,  6 800,   314,   19,  2 106 160,18/01/2024
65b2249eae9795cdca29b53b,PRSC,TRACTAFRIC MOTORS CI                           ,CI,  1 920,  1 900,   266,   7,   518 955,18/01/2024
65b2249eae9795cdca29b53c,SCRC,SUCRIVOIRE COTE D'IVOIRE, ,   450,   450,   353,   8,   158 925,18/01/2024
65b2249eae9795cdca29b53d,SDCC,SODECI,CI,  4 390,  4 390,   80,   7,   351 200,18/01/2024
65b2249eae9795cdca29b53e,SDSC,BOLLORE TRANSPORT & LOGISTICS CI                                     ,CI,  1 390,  1 390,  5 237,   33,  7 263 850,18/01/2024
65b2249eae9795cdca29b53f,SGBC,SGBCI               ,CI,  16 200,  16 100,   283,   19,  4 551 700,18/01/2024
65b2249eae9795cdca29b540,SHEC,VIVO ENERGY CI      ,CI,   780,   790,   415,   19,   326 500,18/01/2024
65b2249eae9795cdca29b541,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE, ,  5 300,  5 290,  3 008,   44,  15 685 745,18/01/2024
65b2249eae9795cdca29b542,SICC,SICOR,CI,  3 400,  3 400,   3,   1,   10 200,18/01/2024
65b2249eae9795cdca29b543,SIVC,AIR LIQUIDE CI,CI,   825,   820,   20,   2,   16 400,18/01/2024
65b2249eae9795cdca29b544,SMBC,SMB CI,CI,  10 000,  9 955,   270,   12,  2 701 145,18/01/2024
65b2249eae9795cdca29b545,SNTS,SONATEL,SN,  17 000,  17 000,  4 757,   57,  80 624 140,18/01/2024
65b2249eae9795cdca29b546,SOGC,SOGB,CI,  3 095,  3 095,  1 314,   15,  4 056 620,18/01/2024
65b2249eae9795cdca29b547,SPHC,SAPH CI,CI,  2 280,  2 250,   396,   7,   874 850,18/01/2024
65b2249eae9795cdca29b548,STAC,SETAO CI,CI,   830,   885,   11,   2,   9 235,18/01/2024
65b2249eae9795cdca29b549,STBC,SITAB,CI,  5 900,  5 900,   73,   4,   426 600,18/01/2024
65b2249eae9795cdca29b54a,TTLC,TOTAL CI             ,CI,  1 860,  1 850,  1 070,   28,  1 848 250,18/01/2024
65b2249eae9795cdca29b54b,TTLS,TOTAL SENEGAL,SN,  2 290,  2 280,   539,   27,  1 225 330,18/01/2024
65b2249eae9795cdca29b54c,UNLC,UNILEVER CI,CI,  5 000,  5 000,   8,   2,   40 000,18/01/2024
65b2249eae9795cdca29b54d,UNXC,UNIWAX CI,CI,   540,   580,  1 294,   6,   723 290,18/01/2024
65b2249eae9795cdca29b54e,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,17/01/2024
65b2249eae9795cdca29b54f,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,17/01/2024
65b2249eae9795cdca29b550,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,17/01/2024
